日期,代號,股名,買入事件,買入價格,賣出事件,賣出價格,損益率
2023-01-31,2308,台達電,新增5%,288.50,,,
2023-01-31,2317,鴻海,新增5%,98.30,,,
2023-01-31,2379,瑞昱,新增5%,321.50,,,
2023-01-31,6781,AES-KY,新增5%,759.00,,,
2023-03-01,2454,聯發科,新增2.5%,790.00,,,
2023-03-01,2308,台達電,加碼2.5%,291.00,,,
2023-03-01,2884,玉山金,新增2.5%,24.80,,,
2023-03-01,3406,玉晶光,新增2.5%,395.00,,,
2023-03-21,2330,台積電,新增5%,524.00,,,
2023-03-21,2308,台達電,加碼5%,296.50,,,
2023-04-18,2454,聯發科,加碼5%,682.00,,,
2023-04-18,2317,鴻海,加碼5%,104.00,,,
2023-04-26,2330,台積電,加碼6.67%,493.00,,,
2023-04-26,2454,聯發科,加碼6.67%,643.00,,,
2023-04-26,1101,台泥,新增6.67%,38.70,,,
2023-05-18,2454,聯發科,加碼10%,690.00,,,
2023-05-29,3406,玉晶光,加碼20%,392.00,,,
2024-07-12,2330,台積電,,,減碼3.67%,1030.00,+139.60%
2024-07-12,2454,聯發科,,,減碼9.17%,1365.00,+146.86%
2024-07-12,2317,鴻海,,,減碼4.66%,219.00,+139.97%
2024-07-12,3406,玉晶光,,,減碼2.50%,599.00,+50.76%
2024-07-12,3406,玉晶光,,,減碼10%,599.00,+51.91%
2024-08-06,2379,瑞昱,加碼5%,479.50,,,
2024-08-06,6781,AES-KY,加碼5%,464.50,,,
2024-08-06,006208,富邦台50,新增10%,97.40,,,
2024-08-22,2317,鴻海,,,減碼5.34%,184.00,+101.61%
2024-08-22,2454,聯發科,,,減碼7.5%,1230.00,+122.45%
2024-12-05,6781,AES-KY,,,減碼3%,1040.00,+82.27%
2024-12-19,2308,台達電,,,減碼2.5%,415.00,+61.69%
2024-12-19,2454,聯發科,,,減碼1.5%,1400.00,+153.19%
2024-12-19,3406,玉晶光,,,減碼5%,465.50,+25.76%
2024-12-19,6781,AES-KY,,,減碼2%,921.00,+61.41%
2024-12-30,3711,日月光投控,新增5%,164.00,,,
2025-01-09,1590,亞德客-KY,新增6%,879.00,,,
2025-01-09,2317,鴻海,新增4%,188.00,,,
2025-01-09,2395,研華,新增4%,378.00,,,
2025-01-09,2884,玉山金,加碼2%,27.30,,,
2025-02-24,6781,AES-KY,,,減碼3%,980.00,+109.75%
2025-03-04,6781,AES-KY,,,剔除2%,935.00,+100.12%
2025-03-10,2454,聯發科,,,減碼1%,1405.00,+168.25%
2025-03-11,2308,台達電,加碼3%,368.50,,,
2025-03-12,00631L,元大台灣50正2,新增3%,219.50,,,
2025-03-12,006208,富邦台50,加碼2%,107.90,,,
2025-03-26,3406,玉晶光,加碼3%,428.50,,,
2025-03-26,2317,鴻海,加碼3%,166.00,,,
2025-04-07,006208,富邦台50,加碼5%,93.35,,,
2025-04-08,2330,台積電,加碼3%,813.00,,,
2025-04-08,006208,富邦台50,加碼2%,88.10,,,
2025-04-08,00631L,元大台灣50正2,加碼3%,150.90,,,
