external_id,trade_date,portfolio,category_name,market,symbol,name,side,quantity,price,exchange_rate,fee,tax,note
C倉-2023-01-31-2308-BUY-1,2023-01-31,martingale,C倉,TW,2308,台達電,BUY,866.55,288.5,1,0,0,新增5%
C倉-2023-01-31-2317-BUY-2,2023-01-31,martingale,C倉,TW,2317,鴻海,BUY,2543.23,98.3,1,0,0,新增5%
C倉-2023-01-31-2379-BUY-3,2023-01-31,martingale,C倉,TW,2379,瑞昱,BUY,777.6,321.5,1,0,0,新增5%
C倉-2023-01-31-6781-BUY-4,2023-01-31,martingale,C倉,TW,6781,AES-KY,BUY,329.38,759,1,0,0,新增5%
C倉-2023-03-01-2454-BUY-5,2023-03-01,martingale,C倉,TW,2454,聯發科,BUY,158.23,790,1,0,0,新增2.5%
C倉-2023-03-01-2308-BUY-6,2023-03-01,martingale,C倉,TW,2308,台達電,BUY,429.55,291,1,0,0,加碼2.5%
C倉-2023-03-01-2884-BUY-7,2023-03-01,martingale,C倉,TW,2884,玉山金,BUY,5040.32,24.8,1,0,0,新增2.5%
C倉-2023-03-01-3406-BUY-8,2023-03-01,martingale,C倉,TW,3406,玉晶光,BUY,316.46,395,1,0,0,新增2.5%
C倉-2023-03-21-2330-BUY-9,2023-03-21,martingale,C倉,TW,2330,台積電,BUY,477.1,524,1,0,0,新增5%
C倉-2023-03-21-2308-BUY-10,2023-03-21,martingale,C倉,TW,2308,台達電,BUY,843.17,296.5,1,0,0,加碼5%
C倉-2023-04-18-2454-BUY-11,2023-04-18,martingale,C倉,TW,2454,聯發科,BUY,366.57,682,1,0,0,加碼5%
C倉-2023-04-18-2317-BUY-12,2023-04-18,martingale,C倉,TW,2317,鴻海,BUY,2403.85,104,1,0,0,加碼5%
C倉-2023-04-26-2330-BUY-13,2023-04-26,martingale,C倉,TW,2330,台積電,BUY,676.47,493,1,0,0,加碼6.67%
C倉-2023-04-26-2454-BUY-14,2023-04-26,martingale,C倉,TW,2454,聯發科,BUY,518.66,643,1,0,0,加碼6.67%
C倉-2023-04-26-1101-BUY-15,2023-04-26,martingale,C倉,TW,1101,台泥,BUY,8617.57,38.7,1,0,0,新增6.67%
C倉-2023-05-18-2454-BUY-16,2023-05-18,martingale,C倉,TW,2454,聯發科,BUY,724.64,690,1,0,0,加碼10%
C倉-2023-05-29-3406-BUY-17,2023-05-29,martingale,C倉,TW,3406,玉晶光,BUY,2551.02,392,1,0,0,加碼20%
C倉-2024-07-12-2330-SELL-18,2024-07-12,martingale,C倉,TW,2330,台積電,SELL,362.78,1030,1,0,0,減碼3.67%
C倉-2024-07-12-2454-SELL-19,2024-07-12,martingale,C倉,TW,2454,聯發科,SELL,670.81,1365,1,0,0,減碼9.17%
C倉-2024-07-12-2317-SELL-20,2024-07-12,martingale,C倉,TW,2317,鴻海,SELL,2305.34,219,1,0,0,減碼4.66%
C倉-2024-07-12-3406-SELL-21,2024-07-12,martingale,C倉,TW,3406,玉晶光,SELL,318.61,599,1,0,0,減碼2.50%
C倉-2024-07-12-3406-SELL-22,2024-07-12,martingale,C倉,TW,3406,玉晶光,SELL,1274.43,599,1,0,0,減碼10%
C倉-2024-08-06-2379-BUY-23,2024-08-06,martingale,C倉,TW,2379,瑞昱,BUY,521.38,479.5,1,0,0,加碼5%
C倉-2024-08-06-6781-BUY-24,2024-08-06,martingale,C倉,TW,6781,AES-KY,BUY,538.21,464.5,1,0,0,加碼5%
C倉-2024-08-06-006208-BUY-25,2024-08-06,martingale,C倉,TW,006208,富邦台50,BUY,5133.47,97.4,1,0,0,新增10%
C倉-2024-08-22-2317-SELL-26,2024-08-22,martingale,C倉,TW,2317,鴻海,SELL,2641.74,184,1,0,0,減碼5.34%
C倉-2024-08-22-2454-SELL-27,2024-08-22,martingale,C倉,TW,2454,聯發科,SELL,548.64,1230,1,0,0,減碼7.5%
C倉-2024-12-05-6781-SELL-28,2024-12-05,martingale,C倉,TW,6781,AES-KY,SELL,260.28,1040,1,0,0,減碼3%
C倉-2024-12-19-2308-SELL-29,2024-12-19,martingale,C倉,TW,2308,台達電,SELL,427.85,415,1,0,0,減碼2.5%
C倉-2024-12-19-2454-SELL-30,2024-12-19,martingale,C倉,TW,2454,聯發科,SELL,109.73,1400,1,0,0,減碼1.5%
C倉-2024-12-19-3406-SELL-31,2024-12-19,martingale,C倉,TW,3406,玉晶光,SELL,637.22,465.5,1,0,0,減碼5%
C倉-2024-12-19-6781-SELL-32,2024-12-19,martingale,C倉,TW,6781,AES-KY,SELL,173.52,921,1,0,0,減碼2%
C倉-2024-12-30-3711-BUY-33,2024-12-30,martingale,C倉,TW,3711,日月光投控,BUY,1524.39,164,1,0,0,新增5%
C倉-2025-01-09-1590-BUY-34,2025-01-09,martingale,C倉,TW,1590,亞德客-KY,BUY,341.3,879,1,0,0,新增6%
C倉-2025-01-09-2317-BUY-35,2025-01-09,martingale,C倉,TW,2317,鴻海,BUY,1063.83,188,1,0,0,新增4%
C倉-2025-01-09-2395-BUY-36,2025-01-09,martingale,C倉,TW,2395,研華,BUY,529.1,378,1,0,0,新增4%
C倉-2025-01-09-2884-BUY-37,2025-01-09,martingale,C倉,TW,2884,玉山金,BUY,3663,27.3,1,0,0,加碼2%
C倉-2025-02-24-6781-SELL-38,2025-02-24,martingale,C倉,TW,6781,AES-KY,SELL,260.28,980,1,0,0,減碼3%
C倉-2025-03-04-6781-SELL-39,2025-03-04,martingale,C倉,TW,6781,AES-KY,SELL,173,935,1,0,0,剔除2%
C倉-2025-03-10-2454-SELL-40,2025-03-10,martingale,C倉,TW,2454,聯發科,SELL,73.15,1405,1,0,0,減碼1%
C倉-2025-03-11-2308-BUY-41,2025-03-11,martingale,C倉,TW,2308,台達電,BUY,407.06,368.5,1,0,0,加碼3%
C倉-2025-03-12-00631L-BUY-42,2025-03-12,martingale,C倉,TW,00631L,元大台灣50正2,BUY,683.37,219.5,1,0,0,新增3%
C倉-2025-03-12-006208-BUY-43,2025-03-12,martingale,C倉,TW,006208,富邦台50,BUY,926.78,107.9,1,0,0,加碼2%
C倉-2025-03-26-3406-BUY-44,2025-03-26,martingale,C倉,TW,3406,玉晶光,BUY,350.06,428.5,1,0,0,加碼3%
C倉-2025-03-26-2317-BUY-45,2025-03-26,martingale,C倉,TW,2317,鴻海,BUY,903.61,166,1,0,0,加碼3%
C倉-2025-04-07-006208-BUY-46,2025-04-07,martingale,C倉,TW,006208,富邦台50,BUY,2678.09,93.35,1,0,0,加碼5%
C倉-2025-04-08-2330-BUY-47,2025-04-08,martingale,C倉,TW,2330,台積電,BUY,184.5,813,1,0,0,加碼3%
C倉-2025-04-08-006208-BUY-48,2025-04-08,martingale,C倉,TW,006208,富邦台50,BUY,1135.07,88.1,1,0,0,加碼2%
C倉-2025-04-08-00631L-BUY-49,2025-04-08,martingale,C倉,TW,00631L,元大台灣50正2,BUY,994.04,150.9,1,0,0,加碼3%
