日期,代號,股名,買入事件,買入價格,賣出事件,賣出價格,損益率
2025-04-14,2884,玉山金,加碼3%,27.75,,,
2025-04-14,3711,日月光投控,加碼3%,134.00,,,
2025-04-14,2317,鴻海,加碼3%,139.50,,,
2025-04-14,3406,玉晶光,加碼3%,366.00,,,
2025-04-14,00631L,元大台灣50正2,加碼2%,162.40,,,
2025-04-14,2395,研華,加碼2%,340.00,,,
2025-04-15,2308,台達電,加碼2%,315.00,,,
2025-04-28,3293,鈊象,新增3%,821.00,,,
2025-05-15,2317,鴻海,,,減碼5%,159.00,-11.15%
2025-05-15,2330,台積電,,,減碼1.71%,998.00,+103.30%
2025-05-15,2308,台達電,,,減碼1.14%,373.00,+34.40%
2025-05-15,3406,玉晶光,,,減碼2.71%,390.50,+4.40%
2025-05-15,006208,富邦台50,,,減碼1.14%,107.15,+10.29%
2025-05-15,3711,日月光投控,,,減碼2.57%,149.00,-9.68%
2025-05-15,00631L,元大台灣50正2,,,減碼2.14%,197.60,-10.50%
2025-05-15,3293,鈊象,加碼1%,864.00,,,
2025-05-15,1536,和大,新增2%,64.90,,,
2025-05-27,2330,台積電,,,減碼1%,971.00,+104.45%
2025-05-27,2308,台達電,,,減碼1%,368.00,+28.64%
2025-05-27,2379,瑞昱,,,減碼1%,525.00,+75.56%
2025-05-27,00631L,元大台灣50正2,,,剔除5%,193.00,+23.55%
2025-05-28,3293,鈊象,加碼1%,850.00,,,
2025-05-28,1536,和大,加碼2%,61.20,,,
2025-06-11,2454,聯發科,加碼2.5%,1315.00,,,
2025-07-16,1536,和大,加碼2%,54.40,,,
2025-07-17,2308,台達電,,,減碼1.14%,502.00,+73.71%
2025-07-17,2884,玉山金,,,減碼1.21%,35.25,+46.91%
2025-07-17,006208,富邦台50,,,減碼1%,117.20,+23.96%
2025-07-17,1101,台泥,,,減碼1.76%,23.65,-31.95%
2025-07-17,3711,日月光投控,加碼1%,152.00,,,
2025-07-17,8069,元太,新增3%,224.50,,,
2025-07-24,3293,鈊象,加碼1%,799.00,,,
2025-08-01,2330,台積電,,,減碼1%,1145.00,+140.53%
2025-08-01,2308,台達電,,,減碼1%,558.00,+90.29%
2025-08-01,2454,聯發科,,,減碼1%,1350.00,+110.31%
2025-08-01,2379,瑞昱,,,減碼1%,563.00,+87.31%
2025-08-01,3406,玉晶光,,,減碼1%,427.50,+16.88%
2025-08-01,2317,鴻海,,,減碼1%,175.00,+28.87%
2025-08-01,3711,日月光投控,,,減碼1%,143.50,-13.01%
2025-08-08,2395,研華,,,剔除6%,325.00,-10.59%
2025-08-06,3443,創意,新增3%,1240.00,,,
2025-08-11,1536,和大,,,減碼3%,63.90,-0.14%
2025-08-13,2308,台達電,,,減碼1%,679.00,+132.20%
2025-08-13,8069,元太,,,減碼1%,272.50,+22.89%
2025-08-19,006208,富邦台50,,,減碼1%,124.45,+28.97%
2025-08-19,2308,台達電,,,減碼1%,671.00,+129.51%
2025-08-19,8069,元太,,,剔除2%,253.00,+14.26%
2025-08-20,3711,日月光投控,加碼1%,151.00,,,
2025-08-20,1590,亞德客-KY,加碼1%,790.00,,,
2025-08-20,2330,台積電,,,減碼1%,1165.00,+144.56%
2025-08-20,2454,聯發科,,,減碼1%,1380.00,+114.63%
2025-08-20,006208,富邦台50,,,減碼1%,122.40,+26.87%
2025-08-20,2317,鴻海,,,減碼1%,203.50,+49.18%
2025-08-26,1802,台玻,新增2%,32.90,,,
2025-08-29,3406,玉晶光,,,減碼1%,457.50,+10.34%
2025-08-29,2379,瑞昱,,,減碼1.14%,541.00,+80.51%
2025-08-29,1101,台泥,,,剔除3%,22.50,-35.26%
2025-09-02,2379,瑞昱,加碼1%,548.00,,,
2025-09-02,3443,創意,加碼1%,1310.00,,,
2025-09-03,1536,和大,加碼1%,70.50,,,
2025-09-09,2379,瑞昱,加碼1%,541.00,,,
2025-09-09,3443,創意,加碼1%,1360.00,,,
2025-09-09,3406,玉晶光,加碼1%,446.50,,,
2025-09-11,3406,玉晶光,,,剔除5%,424.00,+11.45%
2025-09-11,1802,台玻,,,剔除2%,26.80,-19.02%
2025-09-11,1590,亞德客-KY,,,剔除5.29%,777.00,-10.25%
2025-09-12,3293,鈊象,,,剔除6%,829.00,+2.94%
2025-09-23,2330,台積電,,,減碼1%,1320.00,+176.81%
2025-09-23,2379,瑞昱,,,減碼2%,542.00,+35.46%
2025-09-23,1536,和大,,,剔除4%,65.50,+9.54%
2025-09-24,3711,日月光投控,,,剔除5%,171.50,+23.73%
2025-09-24,3443,創意,,,剔除5%,1305.00,+1.66%
2025-09-24,2379,瑞昱,,,剔除4%,547.00,+13.26%
2025-09-24,006208,富邦台50,,,減碼2%,135.70,+40.45%
2025-09-26,2308,台達電,,,減碼1%,841.00,+178.27%
2025-10-14,2317,鴻海,,,剔除1%,206.00,+57.33%
2025-10-16,2330,台積電,,,減碼1%,1465.00,+80.25%
2025-10-16,2308,台達電,,,減碼1%,1010.00,+174.38%
2025-10-16,006208,富邦台50,,,減碼1%,145.25,+50.20%
2025-10-29,006208,富邦台50,,,減碼1%,150.05,+39.17%
2025-10-29,2884,玉山金,,,減碼1%,30.05,+23.58%
2025-10-29,2308,台達電,,,減碼1%,1070.00,+190.57%
2025-10-29,2330,台積電,,,減碼1%,1500.00,+51.30%
2025-10-29,2454,聯發科,,,減碼2%,1315.00,+82.95%
2025-10-29,006208,富邦台50,,,減碼1%,151.15,+40.26%
2025-10-31,2884,玉山金,,,減碼1%,29.75,+12.73%
2025-10-31,2308,台達電,,,減碼1%,997.00,+216.88%
2026-01-23,2454,聯發科,,,減碼1%,1630.00,+25.13%
2026-01-23,006208,富邦台50,,,減碼1%,167.15,+82.76%
2026-01-23,2884,玉山金,,,減碼1%,33.05,+22.73%
