external_id,trade_date,portfolio,category_name,market,symbol,name,side,quantity,price,exchange_rate,fee,tax,note
C倉-2025-04-14-2884-BUY-50,2025-04-14,martingale,C倉,TW,2884,玉山金,BUY,7568,27.75,1,0,0,加碼3%
C倉-2025-04-14-3711-BUY-51,2025-04-14,martingale,C倉,TW,3711,日月光投控,BUY,1567,134,1,0,0,加碼3%
C倉-2025-04-14-2317-BUY-52,2025-04-14,martingale,C倉,TW,2317,鴻海,BUY,1505,139.5,1,0,0,加碼3%
C倉-2025-04-14-3406-BUY-53,2025-04-14,martingale,C倉,TW,3406,玉晶光,BUY,574,366,1,0,0,加碼3%
C倉-2025-04-14-00631L-BUY-54,2025-04-14,martingale,C倉,TW,00631L,元大台灣50正2,BUY,862,162.4,1,0,0,加碼2%
C倉-2025-04-14-2395-BUY-55,2025-04-14,martingale,C倉,TW,2395,研華,BUY,412,340,1,0,0,加碼2%
C倉-2025-04-15-2308-BUY-56,2025-04-15,martingale,C倉,TW,2308,台達電,BUY,444,315,1,0,0,加碼2%
C倉-2025-04-28-3293-BUY-57,2025-04-28,martingale,C倉,TW,3293,鈊象,BUY,256,821,1,0,0,新增3%
C倉-2025-05-15-2317-SELL-58,2025-05-15,martingale,C倉,TW,2317,鴻海,SELL,2171,159,1,0,0,減碼5%
C倉-2025-05-15-2330-SELL-59,2025-05-15,martingale,C倉,TW,2330,台積電,SELL,212,998,1,0,0,減碼1.71%
C倉-2025-05-15-2308-SELL-60,2025-05-15,martingale,C倉,TW,2308,台達電,SELL,259,373,1,0,0,減碼1.14%
C倉-2025-05-15-3406-SELL-61,2025-05-15,martingale,C倉,TW,3406,玉晶光,SELL,485,390.5,1,0,0,減碼2.71%
C倉-2025-05-15-006208-SELL-62,2025-05-15,martingale,C倉,TW,006208,富邦台50,SELL,829,107.15,1,0,0,減碼1.14%
C倉-2025-05-15-3711-SELL-63,2025-05-15,martingale,C倉,TW,3711,日月光投控,SELL,1209,149,1,0,0,減碼2.57%
C倉-2025-05-15-00631L-SELL-64,2025-05-15,martingale,C倉,TW,00631L,元大台灣50正2,SELL,865,197.6,1,0,0,減碼2.14%
C倉-2025-05-15-3293-BUY-65,2025-05-15,martingale,C倉,TW,3293,鈊象,BUY,81,864,1,0,0,加碼1%
C倉-2025-05-15-1536-BUY-66,2025-05-15,martingale,C倉,TW,1536,和大,BUY,2157,64.9,1,0,0,新增2%
C倉-2025-05-27-2330-SELL-67,2025-05-27,martingale,C倉,TW,2330,台積電,SELL,124,971,1,0,0,減碼1%
C倉-2025-05-27-2308-SELL-68,2025-05-27,martingale,C倉,TW,2308,台達電,SELL,227,368,1,0,0,減碼1%
C倉-2025-05-27-2379-SELL-69,2025-05-27,martingale,C倉,TW,2379,瑞昱,SELL,182,525,1,0,0,減碼1%
C倉-2025-05-27-00631L-SELL-70,2025-05-27,martingale,C倉,TW,00631L,元大台灣50正2,SELL,1674,193,1,0,0,剔除5%
C倉-2025-05-28-3293-BUY-71,2025-05-28,martingale,C倉,TW,3293,鈊象,BUY,82,850,1,0,0,加碼1%
C倉-2025-05-28-1536-BUY-72,2025-05-28,martingale,C倉,TW,1536,和大,BUY,2288,61.2,1,0,0,加碼2%
C倉-2025-06-11-2454-BUY-73,2025-06-11,martingale,C倉,TW,2454,聯發科,BUY,133,1315,1,0,0,加碼2.5%
C倉-2025-07-16-1536-BUY-74,2025-07-16,martingale,C倉,TW,1536,和大,BUY,2574,54.4,1,0,0,加碼2%
C倉-2025-07-17-2308-SELL-75,2025-07-17,martingale,C倉,TW,2308,台達電,SELL,259,502,1,0,0,減碼1.14%
C倉-2025-07-17-2884-SELL-76,2025-07-17,martingale,C倉,TW,2884,玉山金,SELL,3168,35.25,1,0,0,減碼1.21%
C倉-2025-07-17-006208-SELL-77,2025-07-17,martingale,C倉,TW,006208,富邦台50,SELL,728,117.2,1,0,0,減碼1%
C倉-2025-07-17-1101-SELL-78,2025-07-17,martingale,C倉,TW,1101,台泥,SELL,3183,23.65,1,0,0,減碼1.76%
C倉-2025-07-17-3711-BUY-79,2025-07-17,martingale,C倉,TW,3711,日月光投控,BUY,461,152,1,0,0,加碼1%
C倉-2025-07-17-8069-BUY-80,2025-07-17,martingale,C倉,TW,8069,元太,BUY,935,224.5,1,0,0,新增3%
C倉-2025-07-24-3293-BUY-81,2025-07-24,martingale,C倉,TW,3293,鈊象,BUY,88,799,1,0,0,加碼1%
C倉-2025-08-01-2330-SELL-82,2025-08-01,martingale,C倉,TW,2330,台積電,SELL,124,1145,1,0,0,減碼1%
C倉-2025-08-01-2308-SELL-83,2025-08-01,martingale,C倉,TW,2308,台達電,SELL,227,558,1,0,0,減碼1%
C倉-2025-08-01-2454-SELL-84,2025-08-01,martingale,C倉,TW,2454,聯發科,SELL,82,1350,1,0,0,減碼1%
C倉-2025-08-01-2379-SELL-85,2025-08-01,martingale,C倉,TW,2379,瑞昱,SELL,182,563,1,0,0,減碼1%
C倉-2025-08-01-3406-SELL-86,2025-08-01,martingale,C倉,TW,3406,玉晶光,SELL,179,427.5,1,0,0,減碼1%
C倉-2025-08-01-2317-SELL-87,2025-08-01,martingale,C倉,TW,2317,鴻海,SELL,434,175,1,0,0,減碼1%
C倉-2025-08-01-3711-SELL-88,2025-08-01,martingale,C倉,TW,3711,日月光投控,SELL,468,143.5,1,0,0,減碼1%
C倉-2025-08-08-2395-SELL-89,2025-08-08,martingale,C倉,TW,2395,研華,SELL,941,325,1,0,0,剔除6%
C倉-2025-08-06-3443-BUY-90,2025-08-06,martingale,C倉,TW,3443,創意,BUY,169,1240,1,0,0,新增3%
C倉-2025-08-11-1536-SELL-91,2025-08-11,martingale,C倉,TW,1536,和大,SELL,3509,63.9,1,0,0,減碼3%
C倉-2025-08-13-2308-SELL-92,2025-08-13,martingale,C倉,TW,2308,台達電,SELL,227,679,1,0,0,減碼1%
C倉-2025-08-13-8069-SELL-93,2025-08-13,martingale,C倉,TW,8069,元太,SELL,312,272.5,1,0,0,減碼1%
C倉-2025-08-19-006208-SELL-94,2025-08-19,martingale,C倉,TW,006208,富邦台50,SELL,728,124.45,1,0,0,減碼1%
C倉-2025-08-19-2308-SELL-95,2025-08-19,martingale,C倉,TW,2308,台達電,SELL,227,671,1,0,0,減碼1%
C倉-2025-08-19-8069-SELL-96,2025-08-19,martingale,C倉,TW,8069,元太,SELL,623,253,1,0,0,剔除2%
C倉-2025-08-20-3711-BUY-97,2025-08-20,martingale,C倉,TW,3711,日月光投控,BUY,464,151,1,0,0,加碼1%
C倉-2025-08-20-1590-BUY-98,2025-08-20,martingale,C倉,TW,1590,亞德客-KY,BUY,89,790,1,0,0,加碼1%
C倉-2025-08-20-2330-SELL-99,2025-08-20,martingale,C倉,TW,2330,台積電,SELL,124,1165,1,0,0,減碼1%
C倉-2025-08-20-2454-SELL-100,2025-08-20,martingale,C倉,TW,2454,聯發科,SELL,82,1380,1,0,0,減碼1%
C倉-2025-08-20-006208-SELL-101,2025-08-20,martingale,C倉,TW,006208,富邦台50,SELL,728,122.4,1,0,0,減碼1%
C倉-2025-08-20-2317-SELL-102,2025-08-20,martingale,C倉,TW,2317,鴻海,SELL,434,203.5,1,0,0,減碼1%
C倉-2025-08-26-1802-BUY-103,2025-08-26,martingale,C倉,TW,1802,台玻,BUY,4255,32.9,1,0,0,新增2%
