日期,代號,股名,買入事件,買入價格,賣出事件,賣出價格
2024-04-15,00720B,元大投資級公司債,進場10%,35.11,,
2024-04-15,00746B,富邦A級公司債,進場10%,36.60,,
2024-04-22,5483,中美晶,進場4%,192.00,,
2024-04-22,3105,穩懋,進場4%,142.00,,
2024-04-22,6409,旭隼,進場4%,1485,,
2024-04-22,5274,信驊,進場4%,3020,,
2024-04-22,3661,世芯-KY,進場4%,2825,,
2024-06-12,6789,采鈺,進場4%,310.00,,
2024-06-12,1802,台玻,進場6%,18.95,,
2024-06-12,3680,家登,進場5%,431.50,,
2024-06-20,2492,華新科,進場5%,118.00,,
2024-07-12,5483,中美晶,,,減碼2%,228.50
2024-07-12,3105,穩懋,,,減碼2%,179.00
2024-07-12,3680,家登,,,減碼2%,528.00
2024-07-12,5274,信驊,,,減碼2%,4775.00
2024-08-06,1802,台玻,加碼4%,15.60,,
2024-08-06,3661,世芯-KY,加碼5%,2120.00,,
2024-08-06,6409,旭隼,加碼2%,1710.00,,
2024-08-06,3105,穩懋,加碼2%,122.00,,
2024-08-06,5483,中美晶,加碼2%,186.00,,
2024-08-06,2492,華新科,加碼2%,104.50,,
2024-08-06,5274,信驊,加碼3%,3800.00,,
2024-08-06,2049,上銀,加碼5%,197.50,,
2024-09-23,5483,中美晶,加碼3%,177.00,,
2024-09-23,2492,華新科,加碼3%,105.00,,
2024-09-23,6789,采鈺,加碼5%,287.00,,
2024-09-23,2345,智邦,進場5%,552.00,,
2024-09-27,3661,世芯-KY,,,減碼4%,2045.00
2024-09-27,6409,旭隼,,,減碼2%,2090.00
2024-09-27,5274,信驊,,,減碼2%,4500.00
2024-10-09,3680,家登,,,剔除,592.00
2024-10-25,6415,矽力*-KY,進場5%,540.00,,
2024-10-25,3675,德微,進場5%,320.50,,
2024-12-03,5483,中美晶,加碼3%,155.50,,
2024-12-03,3105,穩懋,加碼3%,120.50,,
2024-12-05,2345,智邦,,,減碼2%,710.00
2024-12-19,5483,中美晶,,,減碼2%,141.00
2024-12-19,5483,中美晶,,,減碼2%,141.00
2024-12-19,5483,中美晶,,,減碼1%,141.00
2024-12-19,3105,穩懋,,,減碼2%,110.50
2024-12-24,3105,穩懋,,,剔除5%,112.00
2024-12-24,3675,德微,,,剔除5%,230.50
2024-12-24,4966,譜瑞-KY,進場10%,786.00,,
2025-03-04,5483,中美晶,,,剔除5%,122.00
2025-03-04,2345,智邦,,,剔除3%,648.00
2025-03-04,5274,信驊,,,剔除3%,3420.00
2025-03-11,2492,華新科,,,剔除10%,91.60
2025-03-11,6409,旭隼,加碼2%,1565,,
2025-03-26,6415,矽力*-KY,加碼5%,434,,
2025-03-26,6789,采鈺,加碼3%,258,,
2025-03-31,00720B,元大投資級公司債,,,剔除10%,35.60
2025-04-07,00746B,富邦A級公司債,,,剔除10%,34.65
2025-04-07,6409,旭隼,,,剔除6%,1355.00
2025-04-07,3661,世芯-KY,,,剔除5%,2395.00
2025-04-07,6789,采鈺,,,剔除12%,205.00
2025-04-07,2049,上銀,,,剔除,220.50
2025-04-07,6415,矽力*-KY,,,剔除10%,368.00
2025-04-07,4966,譜瑞-KY,,,剔除10%,554.00
2025-04-23,4966,譜瑞-KY,進場5%,521.00,,
2025-04-23,5274,信驊,進場5%,3005.00,,
2025-04-23,6415,矽力*-KY,進場5%,422.00,,
2025-05-16,3035,智原,進場5%,186.50,,
2025-05-16,9958,世紀鋼,進場5%,179.50,,
2025-06-10,9958,世紀鋼,,,減碼2%,218.00
2025-06-10,5274,信驊,,,減碼2%,4430.00
2025-06-24,7722,LINEPAY,進場5%,639.00,,
2025-06-24,3376,新日興,進場5%,220.50,,
2025-06-24,6789,采鈺,進場5%,219.50,,
2025-07-09,9958,世紀鋼,,,剔除3%,206.50
2025-07-09,3491,昇達科,進場3%,331.50,,
2025-07-11,4966,譜瑞-KY,,,減碼2%,599.00
2025-07-11,5274,信驊,,,減碼2%,5065.00
2025-07-15,3491,昇達科,加碼3%,351.50,,
2025-07-15,8028,昇陽半導體,進場3%,131.50,,
2025-07-17,4583,台灣精銳,進場3%,771.00,,
2025-07-18,3376,新日興,,,減碼2%,235.50
2025-07-30,3035,智原,,,剔除5%,157.00
2025-07-30,5274,信驊,,,剔除1%,4455.00
2025-07-30,1802,台玻,,,減碼4%,22.00
2025-08-01,6415,矽力*-KY,,,剔除5%,319.50
2025-08-06,4583,台灣精銳,,,剔除,696.00
2025-08-06,3443,創意,進場4%,1290.00,,
2025-08-11,7722,LINEPAY,,,剔除5%,687.00
2025-08-13,1802,台玻,,,減碼2%,29.85
2025-08-13,4966,譜瑞-KY,,,剔除1%,793.00
2025-08-13,6789,采鈺,,,減碼2%,243.50
