日期,代號,股名,買入事件,買入價格,賣出事件,賣出價格,損益率
2025-03-24,5371,中光電,新增 1/3,85.40,,,
2025-03-31,5371,中光電,加碼 1/3,73.20,,,
2025-04-08,5371,中光電,加碼 1/3,60.40,,,
2025-08-11,5371,中光電,,,減碼 1/3,95.30,+10.94%
2025-08-20,5371,中光電,,,減碼 1/3,102.00,+38.53%
2025-09-09,5371,中光電,,,減碼 0.5,117.50,+93.40%
2025-09-24,5371,中光電,,,剔除 0.5,116.50,+91.75%
2025-10-08,5371,中光電,新增 1/3,118.50,,,
2025-10-15,5371,中光電,,,剔除 1/3,102.00,-14.43%
2025-10-28,6768,志強-KY,新增 1/3,112.50,,,
2025-11-04,6768,志強-KY,加碼 1/3,118.50,,,
2026-01-09,6768,志強-KY,加碼 1/3,106.50,,,
2026-01-15,5371,中光電,新增 2/3,91.00,,,
2026-01-21,5371,中光電,,,減碼 1/3,98.10,+7.17%
2026-02-02,6768,志強-KY,,,減碼 1/3,100.50,-15.69%
