external_id,trade_date,portfolio,category_name,market,symbol,name,side,quantity,price,target_percent
Y-BUY-3017-2021-12-16-0-0,2021-12-16,martingale,黃標,TW,3017,奇鉉,BUY,932,89.20,4.16
Y-SELL-3017-2021-12-21-1,2021-12-21,martingale,黃標,TW,3017,奇鉉,SELL,932,84.90,0.00
Y-BUY-3017-2021-12-21-2-0,2021-12-21,martingale,黃標,TW,3017,奇鉉,BUY,977,85.10,4.16
Y-BUY-3017-2021-12-27-3-0,2021-12-27,martingale,黃標,TW,3017,奇鉉,BUY,950,87.50,8.32
Y-SELL-3017-2022-01-07-4,2022-01-07,martingale,黃標,TW,3017,奇鉉,SELL,1927,86.30,0.00
Y-BUY-8478-2022-01-17-5-0,2022-01-17,martingale,黃標,TW,8478,東哥遊艇,BUY,614,135.50,4.16
Y-BUY-8478-2022-01-17-5-1,2022-01-17,martingale,黃標,TW,8478,東哥遊艇,BUY,614,135.50,8.32
Y-BUY-8478-2022-01-17-5-2,2022-01-17,martingale,黃標,TW,8478,東哥遊艇,BUY,614,135.50,12.48
Y-BUY-3035-2022-01-17-6-0,2022-01-17,martingale,黃標,TW,3035,智原,BUY,396,210.00,4.16
Y-BUY-3035-2022-01-17-6-1,2022-01-17,martingale,黃標,TW,3035,智原,BUY,396,210.00,8.32
Y-BUY-3035-2022-01-17-6-2,2022-01-17,martingale,黃標,TW,3035,智原,BUY,396,210.00,12.48
Y-BUY-3017-2022-01-18-7-0,2022-01-18,martingale,黃標,TW,3017,奇鉉,BUY,943,88.20,4.16
Y-BUY-3017-2022-01-18-7-1,2022-01-18,martingale,黃標,TW,3017,奇鉉,BUY,943,88.20,8.32
Y-BUY-3017-2022-01-18-7-2,2022-01-18,martingale,黃標,TW,3017,奇鉉,BUY,943,88.20,12.48
Y-BUY-6643-2022-01-20-8-0,2022-01-20,martingale,黃標,TW,6643,M31,BUY,223,372.00,4.16
Y-BUY-6643-2022-01-20-8-1,2022-01-20,martingale,黃標,TW,6643,M31,BUY,223,372.00,8.32
Y-BUY-6643-2022-01-20-8-2,2022-01-20,martingale,黃標,TW,6643,M31,BUY,223,372.00,12.48
Y-SELL-6643-2022-01-25-9,2022-01-25,martingale,黃標,TW,6643,M31,SELL,669,345.00,0.00
Y-SELL-3035-2022-01-26-10,2022-01-26,martingale,黃標,TW,3035,智原,SELL,1188,199.50,0.00
Y-BUY-4919-2022-02-07-11-0,2022-02-07,martingale,黃標,TW,4919,新唐,BUY,560,148.50,4.16
Y-BUY-4919-2022-02-07-11-1,2022-02-07,martingale,黃標,TW,4919,新唐,BUY,560,148.50,8.32
Y-BUY-4919-2022-02-07-11-2,2022-02-07,martingale,黃標,TW,4919,新唐,BUY,560,148.50,12.48
Y-SELL-3017-2022-02-15-12,2022-02-15,martingale,黃標,TW,3017,奇鉉,SELL,2829,103.00,0.00
Y-BUY-8016-2022-02-21-13-0,2022-02-21,martingale,黃標,TW,8016,矽創,BUY,280,297.00,4.16
Y-BUY-8016-2022-02-21-13-1,2022-02-21,martingale,黃標,TW,8016,矽創,BUY,280,297.00,8.32
Y-BUY-8016-2022-02-21-13-2,2022-02-21,martingale,黃標,TW,8016,矽創,BUY,280,297.00,12.48
Y-SELL-8478-2022-02-22-14,2022-02-22,martingale,黃標,TW,8478,東哥遊艇,SELL,1842,149.00,0.00
Y-SELL-8016-2022-03-07-16,2022-03-07,martingale,黃標,TW,8016,矽創,SELL,840,285.00,0.00
Y-BUY-3587-2022-03-14-17-0,2022-03-14,martingale,黃標,TW,3587,閎康,BUY,577,144.00,4.16
Y-BUY-3587-2022-03-14-17-1,2022-03-14,martingale,黃標,TW,3587,閎康,BUY,577,144.00,8.32
