日期,代號,股名,買入事件,買入價格,賣出事件,賣出價格,損益率
2021-12-16,3017,奇鉉,新增 1/3,89.20,,,
2021-12-21,3017,奇鉉,,,出場,84.90,-5.00%
2021-12-21,3017,奇鉉,新增 1/3,85.10,,,
2021-12-27,3017,奇鉉,加碼 1/3,87.50,,,
2022-01-07,3017,奇鉉,,,出場,86.30,-0.20%
2022-01-17,8478,東哥遊艇,新增,135.50,,,
2022-01-17,3035,智原,新增,210.00,,,
2022-01-18,3017,奇鉉,新增 3/3,88.20,,,
2022-01-20,6643,M31,新增,372.00,,,
2022-01-25,6643,M31,,,出場,345.00,-9.30%
2022-01-26,3035,智原,,,出場,199.50,-5.00%
2022-02-07,4919,新唐,新增,148.50,,,
2022-02-15,3017,奇鉉,,,減碼,103.00,+16.80%
2022-02-21,8016,矽創,新增,297.00,,,
2022-02-22,8478,東哥遊艇,,,出場,149.00,+10.00%
2022-03-02,3017,奇鉉,,,出場,108.50,+23.00%
2022-03-07,8016,矽創,,,出場,285.00,-4.10%
2022-03-14,3587,閎康,新增,144.00,,,
2022-03-28,4919,新唐,,,減碼,190.00,+27.95%
2022-04-06,4919,新唐,,,出場,180.00,+21.20%
2022-04-18,3587,閎康,,,出場,142.50,-0.20%
2022-12-07,2359,所羅門,新增 1/3,27.75,,,
2022-12-07,4168,醣聯,新增 1/3,33.10,,,
2022-12-20,4168,醣聯,新增 1/3,31.55,,,
2023-01-31,2359,所羅門,新增 1/3,26.80,,,
2023-03-10,2359,所羅門,,,出場 1/3,33.65,+23.81%
2023-03-16,2359,所羅門,,,出場 2/3,31.30,+14.89%
2023-03-16,4168,醣聯,,,減碼 1/3,29.60,-10.08%
2023-03-20,5351,鈺創,新增 1/3,43.35,,,
2023-03-23,2359,所羅門,新增 1/3,32.60,,,
2023-04-10,5351,鈺創,加碼 1/3,47.50,,,
2023-04-10,4168,醣聯,加碼 1/3,31.25,,,
2023-04-26,4168,醣聯,加碼 1/3,31.55,,,
2023-07-12,4919,新唐,新增 1/3,133.50,,,
